customer_id,customer_name,gender,age,city,state,signup_date,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment,Purchase_Status
C1017,Aditi Srivastava,Female,27,Salem,Tamil Nadu,2023-08-30,454,1,30587.67,1,1,1,111,3,Hibernating,Purchased
C1018,Pooja Malhotra,Male,55,Varanasi,Uttar Pradesh,2025-05-12,364,1,133543.64,1,1,3,113,5,At Risk,Purchased
C1019,Rakesh Agarwal,Male,53,Warangal,Telangana,2023-08-02,89,3,53583.64,3,2,2,322,7,Potential Loyalists,Purchased
C1020,Sameer Sharma,Male,22,Surat,Gujarat,2023-03-19,159,3,61316.93000000001,2,2,2,222,6,Hibernating,Purchased
C1021,Simran Singh,Male,61,Kolkata,West Bengal,2024-04-21,43,2,71412.18,4,1,2,412,7,New Customers,Purchased
C1022,Riya Agarwal,Female,57,New Delhi,Delhi,2024-04-27,693,1,67588.28,1,1,2,112,4,Hibernating,Purchased
C1023,Aditi Patel,Female,38,Gaya,Bihar,2024-07-21,53,2,34443.369999999995,4,1,1,411,6,New Customers,Purchased
C1024,Komal Gupta,Male,28,Faridabad,Haryana,2025-07-30,92,24,1011739.98,3,5,5,355,13,Loyal Customers,Purchased
C1025,Kavya Gupta,Female,38,Kolkata,West Bengal,2025-02-05,32,7,315398.33999999997,4,3,4,434,11,Loyal Customers,Purchased
C1026,Ananya Verma,Male,46,Pune,Maharashtra,2024-02-02,111,5,37362.54,3,2,1,321,6,Potential Loyalists,Purchased
C1027,Rohit Bansal,Female,48,Hubballi,Karnataka,2025-03-06,28,16,322551.66000000003,4,5,4,454,13,Champions,Purchased
C1028,Shreya Bansal,Male,34,Prayagraj,Uttar Pradesh,2024-07-05,48,7,205639.07999999996,4,3,3,433,10,Loyal Customers,Purchased
C1029,Sneha Agarwal,Female,22,Prayagraj,Uttar Pradesh,2023-09-03,17,9,384070.31,5,4,4,544,13,Champions,Purchased
C1030,Rakesh Gupta,Male,47,Jaipur,Rajasthan,2023-01-24,256,2,12768.71,1,1,1,111,3,Hibernating,Purchased
C1031,Shreya Kumar,Male,51,Kolkata,West Bengal,2023-01-05,53,13,695683.4099999999,4,5,5,455,14,Champions,Purchased
C1032,Varun Singh,Female,30,Patna,Bihar,2023-09-03,219,3,86659.19,2,2,2,222,6,Hibernating,Purchased
C1033,Divya Agarwal,Male,48,Delhi,Delhi,2025-06-15,26,6,118599.57,4,3,2,432,9,Potential Loyalists,Purchased
C1034,Shreya Sharma,Male,45,Delhi,Delhi,2024-05-22,3,7,169302.16,5,3,3,533,11,Loyal Customers,Purchased
C1035,Karan Mishra,Male,42,Hubballi,Karnataka,2024-05-09,21,6,246736.38000000003,5,3,4,534,12,Loyal Customers,Purchased
C1036,Suresh Chauhan,Female,18,Nagpur,Maharashtra,2024-03-12,3,21,599418.58,5,5,5,555,15,Champions,Purchased
C1037,Sameer Shah,Male,32,Agra,Uttar Pradesh,2023-10-08,79,12,313480.64,3,4,4,344,11,Loyal Customers,Purchased
C1038,Meera Saxena,Female,35,Mangaluru,Karnataka,2025-02-21,319,8,662511.67,1,4,5,145,10,Can't Lose Them,Purchased
C1039,Ananya Kumar,Female,58,Aurangabad,Maharashtra,2023-01-14,31,9,232573.72,4,4,3,443,11,Loyal Customers,Purchased
C1040,Divya Yadav,Female,57,Jodhpur,Rajasthan,2024-11-01,126,6,462899.54000000004,2,3,5,235,10,At Risk,Purchased
C1041,Pooja Tiwari,Male,59,Mangaluru,Karnataka,2025-10-22,153,13,292861.91000000003,2,5,4,254,11,Can't Lose Them,Purchased
C1042,Shivam Agarwal,Female,40,Warangal,Telangana,2025-08-21,186,3,235171.55,2,2,3,223,7,At Risk,Purchased
C1043,Divya Joshi,Male,33,Jodhpur,Rajasthan,2024-02-09,131,2,145772.91999999998,2,1,3,213,6,At Risk,Purchased
C1044,Karan Chauhan,Female,41,Delhi,Delhi,2025-07-24,80,2,88682.07999999999,3,1,2,312,6,Potential Loyalists,Purchased
C1045,Priya Mehta,Male,56,Warangal,Telangana,2023-09-18,198,1,70556.44,2,1,2,212,5,Hibernating,Purchased
C1046,Rakesh Mishra,Female,47,Warangal,Telangana,2023-09-22,2,15,208971.59,5,5,3,553,13,Loyal Customers,Purchased
C1047,Pooja Shah,Female,46,New Delhi,Delhi,2024-01-12,21,16,562396.24,5,5,5,555,15,Champions,Purchased
C1048,Karan Singh,Male,38,Nashik,Maharashtra,2023-01-20,,,,,,,,,No Purchase,No Purchase
C1049,Kavya Kumar,Male,51,Jodhpur,Rajasthan,2023-10-18,108,7,233602.13,3,3,3,333,9,Loyal Customers,Purchased
C1050,Shreya Sharma,Male,59,Varanasi,Uttar Pradesh,2025-07-24,,,,,,,,,No Purchase,No Purchase
C1051,Manish Srivastava,Female,50,Pune,Maharashtra,2025-04-14,136,5,89918.17,2,2,2,222,6,Hibernating,Purchased
C1052,Rohit Malhotra,Male,37,Varanasi,Uttar Pradesh,2023-12-27,90,10,302916.22000000003,3,4,4,344,11,Loyal Customers,Purchased
C1053,Shivam Yadav,Female,58,Warangal,Telangana,2023-12-09,234,7,189343.02000000002,2,3,3,233,8,At Risk,Purchased
C1054,Sanjay Verma,Female,63,Jodhpur,Rajasthan,2024-01-16,70,8,177674.22,3,4,3,343,10,Loyal Customers,Purchased
C1055,Sanjay Malhotra,Female,56,Jodhpur,Rajasthan,2023-05-11,97,6,57616.0,3,3,2,332,8,Potential Loyalists,Purchased
C1056,Simran Tiwari,Male,60,Hyderabad,Telangana,2023-06-23,241,2,455.6,1,1,1,111,3,Hibernating,Purchased
C1057,Aarav Yadav,Male,30,Mangaluru,Karnataka,2025-12-23,151,2,233007.37000000002,2,1,3,213,6,At Risk,Purchased
C1058,Riya Mishra,Male,38,Vadodara,Gujarat,2025-01-28,112,4,89101.17,3,2,2,322,7,Potential Loyalists,Purchased
C1059,Sameer Srivastava,Female,29,Agra,Uttar Pradesh,2025-01-11,18,5,42463.729999999996,5,2,1,521,8,New Customers,Purchased
C1060,Karan Srivastava,Male,35,Noida,Uttar Pradesh,2023-11-03,16,2,172974.4,5,1,3,513,9,New Customers,Purchased
C1061,Simran Tiwari,Male,53,Jaipur,Rajasthan,2025-07-26,6,9,130611.88,5,4,3,543,12,Loyal Customers,Purchased
C1062,Akash Yadav,Male,50,Bengaluru,Karnataka,2023-07-13,42,4,79426.86,4,2,2,422,8,New Customers,Purchased
C1063,Ananya Kumar,Female,18,Rajkot,Gujarat,2025-11-26,30,9,142786.0,4,4,3,443,11,Loyal Customers,Purchased
C1064,Akash Jain,Female,54,Durgapur,West Bengal,2024-07-05,99,17,1164443.74,3,5,5,355,13,Loyal Customers,Purchased
C1065,Amit Yadav,Male,27,Ahmedabad,Gujarat,2023-12-29,38,4,146367.2,4,2,3,423,9,New Customers,Purchased
C1066,Aditya Srivastava,Male,26,Chennai,Tamil Nadu,2025-04-01,189,5,45104.64,2,2,1,221,5,Hibernating,Purchased
C1067,Komal Sharma,Male,44,Salem,Tamil Nadu,2024-04-01,497,1,277.35999999999996,1,1,1,111,3,Hibernating,Purchased
C1068,Shivam Joshi,Male,29,Delhi,Delhi,2023-10-23,18,11,315597.22,5,4,4,544,13,Champions,Purchased
C1069,Arjun Tiwari,Other,64,Kanpur,Uttar Pradesh,2025-01-18,47,7,230551.18,4,3,3,433,10,Loyal Customers,Purchased
C1070,Nikhil Chauhan,Male,25,Mangaluru,Karnataka,2025-03-01,21,7,95097.96,5,3,2,532,10,Potential Loyalists,Purchased
C1071,Ananya Malhotra,Female,25,Pune,Maharashtra,2024-10-22,49,10,745517.1000000001,4,4,5,445,13,Champions,Purchased
C1072,Arjun Tiwari,Female,54,Bengaluru,Karnataka,2024-05-20,28,18,499736.14999999997,4,5,5,455,14,Champions,Purchased
C1073,Sameer Singh,Female,31,Faridabad,Haryana,2023-12-27,51,9,312801.63,4,4,4,444,12,Champions,Purchased
C1074,Divya Agarwal,Male,52,Aurangabad,Maharashtra,2024-03-18,,,,,,,,,No Purchase,No Purchase
C1075,Aarav Sharma,Female,50,Prayagraj,Uttar Pradesh,2025-08-15,534,3,136940.3,1,2,3,123,6,At Risk,Purchased
C1076,Komal Chauhan,Male,27,Pune,Maharashtra,2024-01-29,,,,,,,,,No Purchase,No Purchase
C1077,Riya Tiwari,Male,45,Delhi,Delhi,2025-11-25,120,6,68270.54,2,3,2,232,7,At Risk,Purchased
C1078,Shivam Sharma,Female,43,Kota,Rajasthan,2023-06-09,13,5,26322.859999999997,5,2,1,521,8,New Customers,Purchased
C1079,Sneha Sharma,Male,22,Salem,Tamil Nadu,2023-06-28,,,,,,,,,No Purchase,No Purchase
C1080,Vivek Agarwal,Male,54,Warangal,Telangana,2023-12-31,11,17,813357.61,5,5,5,555,15,Champions,Purchased
C1081,Arjun Yadav,Male,59,Jaipur,Rajasthan,2023-01-04,186,1,126.00999999999999,2,1,1,211,4,Hibernating,Purchased
C1082,Shreya Saxena,Male,63,Bengaluru,Karnataka,2025-08-20,123,11,540121.1000000001,2,4,5,245,11,Can't Lose Them,Purchased
C1083,Rohit Gupta,Female,22,Hyderabad,Telangana,2024-01-08,88,15,589486.74,3,5,5,355,13,Loyal Customers,Purchased
C1084,Rakesh Bansal,Female,26,Mumbai,Maharashtra,2023-04-22,88,4,65288.600000000006,3,2,2,322,7,Potential Loyalists,Purchased
C1085,Nikhil Mehta,Female,57,Lucknow,Uttar Pradesh,2024-11-08,68,1,2349.02,3,1,1,311,5,Potential Loyalists,Purchased
C1086,Tanya Agarwal,Male,32,Kanpur,Uttar Pradesh,2025-11-15,706,1,1156.9,1,1,1,111,3,Hibernating,Purchased
C1087,Aditi Kumar,Male,48,Siliguri,West Bengal,2025-12-24,477,3,109521.97,1,2,2,122,5,Hibernating,Purchased
C1088,Sameer Chauhan,Male,34,Mysuru,Karnataka,2023-04-28,11,10,197290.58,5,4,3,543,12,Loyal Customers,Purchased
C1089,Suresh Joshi,Female,28,Nagpur,Maharashtra,2025-05-18,22,5,84937.83,5,2,2,522,9,New Customers,Purchased
C1090,Manish Jain,Female,47,Chennai,Tamil Nadu,2024-02-01,156,3,56235.22,2,2,2,222,6,Hibernating,Purchased
C1091,Aditi Agarwal,Female,27,Lucknow,Uttar Pradesh,2025-07-04,57,8,153580.44,4,4,3,443,11,Loyal Customers,Purchased
C1092,Sameer Tiwari,Female,24,Kota,Rajasthan,2024-10-25,36,5,38824.130000000005,4,2,1,421,7,New Customers,Purchased
C1093,Rakesh Saxena,Female,43,Mangaluru,Karnataka,2025-03-12,438,3,13608.529999999999,1,2,1,121,4,Hibernating,Purchased
C1094,Aarav Saxena,Male,27,New Delhi,Delhi,2025-07-06,75,2,99260.34999999999,3,1,2,312,6,Potential Loyalists,Purchased
C1095,Divya Joshi,Female,27,Delhi,Delhi,2025-09-07,332,3,46196.719999999994,1,2,1,121,4,Hibernating,Purchased
C1096,Komal Srivastava,Female,55,Rajkot,Gujarat,2023-06-07,343,3,14320.71,1,2,1,121,4,Hibernating,Purchased
C1097,Shivam Yadav,Female,43,Delhi,Delhi,2025-03-03,59,4,88655.3,3,2,2,322,7,Potential Loyalists,Purchased
C1098,Rahul Kapoor,Male,44,Lucknow,Uttar Pradesh,2023-06-04,61,6,566578.01,3,3,5,335,11,Loyal Customers,Purchased
C1099,Rahul Jain,Female,24,Varanasi,Uttar Pradesh,2025-10-30,29,1,30441.15,4,1,1,411,6,New Customers,Purchased
C1100,Nikhil Mehta,Male,25,Muzaffarpur,Bihar,2024-11-19,88,4,79236.31,3,2,2,322,7,Potential Loyalists,Purchased
C1101,Aditi Chauhan,Female,36,Gwalior,Madhya Pradesh,2023-07-30,49,5,103079.65000000001,4,2,2,422,8,New Customers,Purchased
C1102,Ananya Chauhan,Female,36,Jaipur,Rajasthan,2023-11-17,1,12,298650.14999999997,5,4,4,544,13,Champions,Purchased
C1103,Aditi Shah,Female,39,Aurangabad,Maharashtra,2025-09-07,448,1,841.3,1,1,1,111,3,Hibernating,Purchased
C1104,Nikhil Mehta,Male,24,Gaya,Bihar,2024-12-06,418,1,14469.400000000001,1,1,1,111,3,Hibernating,Purchased
C1105,Nisha Srivastava,Male,61,Siliguri,West Bengal,2023-09-09,103,8,382644.24,3,4,4,344,11,Loyal Customers,Purchased
C1106,Aarav Chauhan,Female,35,Siliguri,West Bengal,2025-06-17,71,5,117934.26000000001,3,2,2,322,7,Potential Loyalists,Purchased
C1107,Shreya Bansal,Female,57,Hubballi,Karnataka,2025-02-25,18,5,192325.28,5,2,3,523,10,New Customers,Purchased
C1108,Arjun Singh,Female,37,Mumbai,Maharashtra,2023-03-26,69,9,299065.2,3,4,4,344,11,Loyal Customers,Purchased
C1109,Neha Mishra,Male,40,Agra,Uttar Pradesh,2023-11-07,15,25,580944.2100000001,5,5,5,555,15,Champions,Purchased
C1110,Vikas Srivastava,Female,23,Gwalior,Madhya Pradesh,2025-07-13,118,12,619016.06,2,4,5,245,11,Can't Lose Them,Purchased
C1111,Nisha Bansal,Female,50,Mangaluru,Karnataka,2024-01-20,253,3,96156.79,1,2,2,122,5,Hibernating,Purchased
C1112,Akash Kapoor,Male,20,Pune,Maharashtra,2023-02-11,15,4,266180.72,5,2,4,524,11,New Customers,Purchased
C1113,Amit Malhotra,Male,53,New Delhi,Delhi,2024-10-23,52,6,259240.18,4,3,4,434,11,Loyal Customers,Purchased
C1114,Neha Jain,Female,60,Vadodara,Gujarat,2025-09-11,4,8,309524.99,5,4,4,544,13,Champions,Purchased
C1115,Kavya Jain,Male,35,Thane,Maharashtra,2024-09-01,5,3,26089.97,5,2,1,521,8,New Customers,Purchased
C1116,Ankit Saxena,Female,60,Faridabad,Haryana,2025-12-04,170,2,7581.370000000001,2,1,1,211,4,Hibernating,Purchased
C1117,Meera Yadav,Female,51,Durgapur,West Bengal,2023-05-05,171,8,123931.93000000001,2,4,2,242,8,At Risk,Purchased
C1118,Rahul Malhotra,Male,18,Siliguri,West Bengal,2024-12-31,135,17,944772.12,2,5,5,255,12,Can't Lose Them,Purchased
C1119,Deepak Kapoor,Male,27,Mangaluru,Karnataka,2025-12-13,167,4,34471.07,2,2,1,221,5,Hibernating,Purchased
C1120,Komal Saxena,Other,48,Ahmedabad,Gujarat,2024-07-24,37,7,368989.68000000005,4,3,4,434,11,Loyal Customers,Purchased
C1121,Riya Mishra,Female,51,Vadodara,Gujarat,2025-06-19,120,4,70742.16,2,2,2,222,6,Hibernating,Purchased
C1122,Manish Kapoor,Female,22,Jaipur,Rajasthan,2023-06-09,293,7,236639.66999999998,1,3,3,133,7,At Risk,Purchased
C1123,Pooja Kumar,Female,50,Prayagraj,Uttar Pradesh,2023-02-18,182,3,24705.03,2,2,1,221,5,Hibernating,Purchased
C1124,Shreya Kumar,Female,56,Bengaluru,Karnataka,2025-02-23,10,4,145310.23,5,2,3,523,10,New Customers,Purchased
C1125,Aditya Jain,Female,22,Ghaziabad,Uttar Pradesh,2023-01-05,221,6,224864.97,2,3,3,233,8,At Risk,Purchased
C1126,Meera Singh,Female,60,Coimbatore,Tamil Nadu,2025-08-15,4,13,748201.5599999999,5,5,5,555,15,Champions,Purchased
C1127,Ayush Tiwari,Female,43,New Delhi,Delhi,2023-01-23,79,6,141440.1,3,3,3,333,9,Loyal Customers,Purchased
C1128,Riya Tiwari,Male,47,Lucknow,Uttar Pradesh,2025-01-23,119,9,443765.68,2,4,5,245,11,Can't Lose Them,Purchased
C1129,Tanya Sharma,Male,20,Lucknow,Uttar Pradesh,2024-05-09,24,16,757081.48,5,5,5,555,15,Champions,Purchased
C1130,Neha Saxena,Female,47,Rajkot,Gujarat,2024-12-07,12,11,345663.25,5,4,4,544,13,Champions,Purchased
C1131,Priya Shah,Male,39,Pune,Maharashtra,2024-11-13,,,,,,,,,No Purchase,No Purchase
C1132,Rohit Kapoor,Female,35,Bhopal,Madhya Pradesh,2024-05-01,11,12,286520.76999999996,5,4,4,544,13,Champions,Purchased
C1133,Komal Srivastava,Female,55,Rajkot,Gujarat,2024-06-11,13,6,151612.53,5,3,3,533,11,Loyal Customers,Purchased
C1134,Sanjay Mehta,Male,29,Delhi,Delhi,2024-07-05,15,18,577152.02,5,5,5,555,15,Champions,Purchased
C1135,Mohit Kumar,Male,20,Ahmedabad,Gujarat,2025-01-11,183,1,2517.22,2,1,1,211,4,Hibernating,Purchased
C1136,Sneha Sharma,Female,41,Kanpur,Uttar Pradesh,2025-02-16,20,10,209161.15,5,4,3,543,12,Loyal Customers,Purchased
C1137,Shreya Patel,Male,53,Gaya,Bihar,2024-05-07,21,10,308208.44,5,4,4,544,13,Champions,Purchased
C1138,Vikas Tiwari,Female,24,Coimbatore,Tamil Nadu,2024-01-21,533,2,124867.88,1,1,2,112,4,Hibernating,Purchased
C1139,Rohit Mehta,Female,65,Hyderabad,Telangana,2023-02-16,16,10,330644.19,5,4,4,544,13,Champions,Purchased
C1140,Priya Agarwal,Male,50,Agra,Uttar Pradesh,2025-05-03,2,13,540949.27,5,5,5,555,15,Champions,Purchased
C1141,Amit Sharma,Female,62,Coimbatore,Tamil Nadu,2023-09-05,225,4,94398.34,2,2,2,222,6,Hibernating,Purchased
C1142,Sneha Tiwari,Female,40,Coimbatore,Tamil Nadu,2024-04-20,710,1,1013.9100000000001,1,1,1,111,3,Hibernating,Purchased
C1143,Akash Mishra,Male,23,Bhopal,Madhya Pradesh,2025-12-22,133,12,364089.93,2,4,4,244,10,Can't Lose Them,Purchased
C1144,Sameer Kapoor,Male,26,Surat,Gujarat,2025-05-09,113,4,29557.92,3,2,1,321,6,Potential Loyalists,Purchased
C1145,Suresh Malhotra,Male,42,Bengaluru,Karnataka,2024-01-14,27,11,391302.76,4,4,4,444,12,Champions,Purchased
C1146,Amit Yadav,Female,46,Nagpur,Maharashtra,2024-06-04,40,8,139197.75,4,4,3,443,11,Loyal Customers,Purchased
C1147,Pooja Singh,Male,53,Delhi,Delhi,2023-12-22,13,3,69340.79,5,2,2,522,9,New Customers,Purchased
C1148,Meera Agarwal,Male,56,Madurai,Tamil Nadu,2024-11-16,29,4,266102.35,4,2,4,424,10,New Customers,Purchased
C1149,Aditya Mishra,Male,54,Mangaluru,Karnataka,2023-06-17,153,8,370157.11,2,4,4,244,10,Can't Lose Them,Purchased
C1150,Tanya Kapoor,Male,46,Ghaziabad,Uttar Pradesh,2025-11-09,713,1,7337.61,1,1,1,111,3,Hibernating,Purchased
C1151,Shreya Saxena,Male,18,Warangal,Telangana,2025-12-16,36,2,23127.1,4,1,1,411,6,New Customers,Purchased
C1152,Yash Verma,Female,43,Gurugram,Haryana,2023-11-23,132,4,167417.93,2,2,3,223,7,At Risk,Purchased
C1153,Nikhil Shah,Male,57,Kanpur,Uttar Pradesh,2023-09-10,10,15,410928.32,5,5,4,554,14,Champions,Purchased
C1154,Aditya Sharma,Female,58,Coimbatore,Tamil Nadu,2024-08-13,12,7,195230.75,5,3,3,533,11,Loyal Customers,Purchased
C1155,Priya Verma,Male,58,Agra,Uttar Pradesh,2024-12-09,107,5,147758.22,3,2,3,323,8,Potential Loyalists,Purchased
C1156,Divya Bansal,Male,18,Jaipur,Rajasthan,2024-12-05,330,3,114328.8,1,2,2,122,5,Hibernating,Purchased
C1157,Divya Bansal,Male,38,Mumbai,Maharashtra,2023-02-16,483,2,66548.78,1,1,2,112,4,Hibernating,Purchased
C1158,Aditya Bansal,Female,47,Jodhpur,Rajasthan,2025-02-17,,,,,,,,,No Purchase,No Purchase
C1159,Ayush Kumar,Female,29,Durgapur,West Bengal,2023-03-14,66,14,231659.37,3,5,3,353,11,Loyal Customers,Purchased
C1160,Nisha Mehta,Male,37,Durgapur,West Bengal,2024-01-10,333,3,18694.219999999998,1,2,1,121,4,Hibernating,Purchased
C1161,Vikas Jain,Female,22,Prayagraj,Uttar Pradesh,2025-02-23,32,5,118484.94,4,2,2,422,8,New Customers,Purchased
C1162,Ayush Chauhan,Male,27,Indore,Madhya Pradesh,2025-08-29,163,4,110984.95,2,2,2,222,6,Hibernating,Purchased
C1163,Rakesh Malhotra,Female,18,Nagpur,Maharashtra,2024-11-26,392,2,7630.999999999999,1,1,1,111,3,Hibernating,Purchased
C1164,Shreya Tiwari,Female,65,Varanasi,Uttar Pradesh,2023-06-24,9,11,305630.65,5,4,4,544,13,Champions,Purchased
C1165,Pooja Kumar,Male,59,Coimbatore,Tamil Nadu,2025-01-14,189,1,24604.74,2,1,1,211,4,Hibernating,Purchased
C1166,Sameer Patel,Male,37,New Delhi,Delhi,2023-02-10,157,6,51334.850000000006,2,3,1,231,6,At Risk,Purchased
C1167,Vikas Bansal,Male,18,Hyderabad,Telangana,2023-09-10,,,,,,,,,No Purchase,No Purchase
C1168,Pooja Agarwal,Female,34,Hyderabad,Telangana,2023-05-16,181,6,348070.39,2,3,4,234,9,At Risk,Purchased
C1169,Nikhil Joshi,Male,38,Delhi,Delhi,2025-12-14,15,18,384477.51,5,5,4,554,14,Champions,Purchased
C1170,Sanjay Shah,Female,26,Muzaffarpur,Bihar,2024-02-08,33,5,247948.69,4,2,4,424,10,New Customers,Purchased
C1171,Riya Chauhan,Male,49,New Delhi,Delhi,2024-09-03,28,9,166716.95,4,4,3,443,11,Loyal Customers,Purchased
C1172,Karan Gupta,Female,65,Coimbatore,Tamil Nadu,2025-05-15,29,7,75211.58,4,3,2,432,9,Potential Loyalists,Purchased
C1173,Vikas Tiwari,Male,58,Nashik,Maharashtra,2025-11-27,159,5,113493.81,2,2,2,222,6,Hibernating,Purchased
C1174,Sameer Jain,Female,59,Gwalior,Madhya Pradesh,2025-12-26,223,8,70848.02,2,4,2,242,8,At Risk,Purchased
C1175,Meera Patel,Male,57,Aurangabad,Maharashtra,2023-06-29,44,10,356643.27,4,4,4,444,12,Champions,Purchased
C1176,Akash Shah,Male,21,Kanpur,Uttar Pradesh,2024-03-07,1,17,429969.82999999996,5,5,5,555,15,Champions,Purchased
C1177,Karan Yadav,Male,44,Mangaluru,Karnataka,2024-03-19,173,4,191716.43,2,2,3,223,7,At Risk,Purchased
C1178,Rohit Chauhan,Female,45,Muzaffarpur,Bihar,2025-05-21,41,6,234591.2,4,3,3,433,10,Loyal Customers,Purchased
C1179,Divya Tiwari,Male,22,Panipat,Haryana,2024-01-03,263,2,33026.33,1,1,1,111,3,Hibernating,Purchased
C1180,Rahul Chauhan,Female,25,Kolkata,West Bengal,2023-09-11,44,7,67769.32,4,3,2,432,9,Potential Loyalists,Purchased
C1181,Neha Chauhan,Female,45,Panipat,Haryana,2025-04-06,127,13,532954.62,2,5,5,255,12,Can't Lose Them,Purchased
C1182,Shivam Malhotra,Male,52,Faridabad,Haryana,2024-06-26,407,5,84968.68,1,2,2,122,5,Hibernating,Purchased
C1183,Rohit Patel,Male,28,Chennai,Tamil Nadu,2025-03-29,86,8,280433.8,3,4,4,344,11,Loyal Customers,Purchased
C1184,Riya Srivastava,Male,41,Delhi,Delhi,2024-02-21,85,17,728971.12,3,5,5,355,13,Loyal Customers,Purchased
C1185,Vikas Sharma,Male,21,Durgapur,West Bengal,2024-06-16,104,10,142999.99000000002,3,4,3,343,10,Loyal Customers,Purchased
C1186,Shreya Saxena,Male,23,Jodhpur,Rajasthan,2023-01-10,68,11,461951.52,3,4,5,345,12,Loyal Customers,Purchased
C1187,Suresh Patel,Female,45,New Delhi,Delhi,2023-01-18,492,1,15840.25,1,1,1,111,3,Hibernating,Purchased
C1188,Meera Malhotra,Male,44,Kanpur,Uttar Pradesh,2023-01-01,61,13,230588.81,3,5,3,353,11,Loyal Customers,Purchased
C1189,Shivam Agarwal,Male,54,Kolkata,West Bengal,2023-07-11,49,3,61296.23,4,2,2,422,8,New Customers,Purchased
C1190,Nikhil Agarwal,Female,61,Aurangabad,Maharashtra,2024-01-16,39,8,272052.3,4,4,4,444,12,Champions,Purchased
C1191,Aditi Sharma,Male,27,Indore,Madhya Pradesh,2023-02-25,79,7,141358.65999999997,3,3,3,333,9,Loyal Customers,Purchased
C1192,Amit Jain,Female,34,Nashik,Maharashtra,2023-06-26,235,4,245114.84,2,2,4,224,8,At Risk,Purchased
C1193,Rahul Jain,Female,59,Noida,Uttar Pradesh,2025-07-16,,,,,,,,,No Purchase,No Purchase
C1194,Tanya Verma,Male,20,Warangal,Telangana,2025-07-24,14,20,863122.95,5,5,5,555,15,Champions,Purchased
C1195,Neha Verma,Female,57,Ghaziabad,Uttar Pradesh,2023-11-14,90,7,376173.67000000004,3,3,4,334,10,Loyal Customers,Purchased
C1196,Kavya Mehta,Female,63,Nashik,Maharashtra,2025-11-02,20,6,140534.83,5,3,3,533,11,Loyal Customers,Purchased
C1197,Manish Mishra,Female,22,Vadodara,Gujarat,2023-05-10,172,1,97544.66,2,1,2,212,5,Hibernating,Purchased
C1198,Shivam Saxena,Female,24,Panipat,Haryana,2023-02-04,17,5,414583.5,5,2,4,524,11,New Customers,Purchased
C1199,Divya Kumar,Female,50,Aurangabad,Maharashtra,2024-01-23,26,19,1316085.7,4,5,5,455,14,Champions,Purchased
C1200,Isha Mehta,Female,40,Delhi,Delhi,2023-10-17,129,7,227065.88,2,3,3,233,8,At Risk,Purchased
C1201,Tanya Gupta,Female,65,Kolkata,West Bengal,2023-03-26,24,14,439378.3,5,5,5,555,15,Champions,Purchased
C1202,Aditi Shah,Female,44,Gaya,Bihar,2025-07-16,79,9,385823.22000000003,3,4,4,344,11,Loyal Customers,Purchased
